           ,Subject,Grade Band,             ,Standard,    ,               ,Proficiency Level,      ,       ,        
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids), recognize and use a small number of frequently occurring nouns, noun phrases, and verbs, understand and respond to simple questions.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including visual aids and modeled sentences), recognize and use some frequently occurring nouns, pronouns, verbs, prepositions, adjectives, adverbs, and conjunctions, produce simple sentences in response to prompts. ",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), use some relative pronouns (e.g., who, whom, which, that), use some relative adverbs (e.g., where, when, why), use some prepositional phrases, produce and expand simple and compound sentences. ",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"use relative pronouns (e.g., who, whom, which, that), use relative adverbs (e.g., where, when, why), use prepositional phrases, use subordinating conjunctions, produce and expand simple, compound, and a few complex sentences.",,,
ELP14,English Language Proficiency,Fourth/Fifth Grade,4-5.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"use relative pronouns (e.g., who, whom, which, that), use relative adverbs (e.g., where, when, why), use prepositional phrases, use&nbsp; subordinating conjunctions, use the progressive and perfect verb tenses, produce and expand simple, compound, and complex sentences.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,use a very limited set of strategies to identify a few key words and phrases in oral communications and simple written texts. ,,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"use an emerging set of strategies to identify the main topic in oral communications and simple written texts, retell a few key details.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"use a developing set of strategies to determine the central idea or theme in simple oral presentations or written text, explain how the theme is supported by specific details, summarize part of the text.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"use an increasing range of strategies to determine two or more central ideas or themes in oral presentations or written text, explain how the central ideas/themes are supported by specific textual details, summarize a simple text.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"use a wide range of strategies to determine central ideas or themes in oral presentations or written text, explain how the central ideas/themes are developed by supporting ideas or evidence, summarize a text.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"participate in short conversational and written exchanges on familiar topics, present simple information, respond to simple questions and some wh- questions.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"participate in short conversational and written exchanges on familiar topics and texts, present information and ideas, respond to simple questions and wh- questions.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"participate in conversations, discussions, and written exchanges on familiar topics and texts, build on the ideas of others, express his or her own ideas, ask and answer relevant questions, add relevant information.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"participate in conversations, discussions, and written exchanges on a variety of topics, texts, and issues, build on the ideas of others, express his or her own ideas, ask and answer relevant questions, add relevant information and evidence, paraphrase the key ideas expressed. ",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"participate in extended conversations, discussions, and written exchanges about a variety of topics, texts, and issues, build on the ideas of others, express his or her own ideas clearly, pose and respond to relevant questions, add relevant and specific evidence, summarize the key ideas, reflect on the key ideas expressed.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"communicate simple information about familiar texts, topics, and experiences.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"deliver short oral presentations, compose written narratives or informational texts about familiar texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"deliver short oral presentations, compose written narratives or informational texts, develop texts with some details about familiar texts, topics, and experiences.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"deliver oral presentations, compose written narratives or informational texts, develop texts with some specific details about a variety of texts, topics, and experience.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"deliver oral presentations, compose written narratives or informational texts, develop texts with relevant details, ideas, or information about a variety of texts, topics, and experiences.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,express an opinion about a familiar topic.,,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"construct a claim about a familiar topic, give a reason to support the claim.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"construct a claim about a familiar topic, introduce the topic, provide several supporting reasons or facts in a logical order, provide a concluding statement.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"construct a claim about a variety of topics, introduce the topic, provide sufficient reasons or facts to support the claim, provide a concluding statement.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"construct a claim about a variety of topics, introduce the topic, provide compelling and logically ordered reasons or facts that effectively support the claim, provide a concluding statement.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"gather information from a few provided sources, label collected information.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"gather information from provided sources, record some data and information.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"gather information from multiple provided print and digital sources, summarize or paraphrase observations, ideas, and information, with labeled illustrations, diagrams, or other graphics, as appropriate, cite sources.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"gather information from multiple print and digital sources, use search terms effectively, quote or paraphrase the data and conclusions of others, using charts, diagrams, or other graphics, as appropriate, cite sources, use a standard format for citations.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"gather information from multiple print and digital sources, use search terms effectively, (at Grade 8) evaluate the credibility of each source, quote or paraphrase the data and conclusions of others using charts, diagrams, or other graphics, as appropriate, cite sources, use a standard format for citations.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,identify a point an author or a speaker makes.,,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"identify the main argument an author or a speaker makes, identify one reason an author or a speaker gives to support the argument.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"explain the argument an author or a speaker makes, distinguish between claims that are supported by reasons and evidence from those that are not.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"analyze the argument and specific claims made in texts or speech, determine whether the evidence is sufficient to support the claims, cite textual evidence to support the analysis.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"analyze and evaluate the argument and specific claims made in texts or speech/ presentations, determine whether the reasoning is sound and the evidence is relevant and sufficient to support the claims, cite textual evidence to support the analysis.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"recognize the meaning of some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"with emerging control, adapt language choices according to task and audience, begin to use frequently occurring general academic and content-specific words and phrases in conversations and discussions.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"with developing ease, adapt language choices and style according to purpose, task, and audience, use an increasing number of general academic and content-specific words and phrases in speech and short written texts, show developing control of style and tone in oral or written text.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"with increasing ease, adapt language choices and style according to purpose, task, and audience, use a wider range of general academic and content-specific academic words and phrases, maintain consistency in style and tone throughout most of oral or written text.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"with ease, adapt language choices and style according to purpose, task, and audience, use a wide variety of complex general academic and content-specific academic words to precisely express ideas, maintain an appropriate and consistent style and tone throughout an oral or written text.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"relying heavily on context, visual aids, and knowledge of morphology in their native language, recognize the meaning of a few frequently occurring words and simple phrases in texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"using context, visual aids, reference materials, and knowledge of morphology in their native language, determine the meaning of frequently occurring words, phrases, and expressions in texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"using context, visual aids, reference materials, and a developing knowledge of English morphology (e.g. affixes and roots words), determine the meaning of general academic and content-specific words and phrases and frequently occurring expressions in texts about familiar topics, experiences, or events.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"using context, reference materials, and an increasing knowledge of English morphology, determine the meaning of general academic and content-specific words and phrases, and a growing number of idiomatic expressions in texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.8,An ELL can determine the meaning of words and phrases in oral presentations and literary and informational text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"using context, reference materials, and knowledge of English morphology, determine the meanings of general academic and content-specific words and phrases, idiomatic expressions, and figurative and connotative language (e.g., metaphor, personification) in texts about a variety of topics, experiences, or events.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including context and visual aids) and&nbsp; non-verbal communication, communicate simple information about an event or topic, use a narrow range of vocabulary and syntactically simple sentences with limited control.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including modeled sentences), recount a brief sequence of events in order, introduce an informational topic, present one or two facts about the topic, use some commonly occurring linking words (e.g., next, because, and, also), provide a concluding statement with emerging control.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"recount a short sequence of events, with a beginning, middle, and end, introduce and develop an informational topic with a few facts and details, use common transitional words and phrases to connect events, ideas, and opinions (e.g., after a while, for example, in order to, as a result), provide a conclusion with developing control.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"recount a more detailed sequence of events or steps in a process, with a beginning, middle, and end, introduce and develop an informational topic with facts and details, use a variety of transitional words and phrases to connect events, ideas, and opinions (e.g., however, on the other hand, from that moment on), provide a concluding section with increasingly independent control.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.9,An ELL can create clear and coherent grade-appropriate speech and text.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"recount a complex sequence of events or steps in a process, with a beginning, middle, and end, introduce and effectively develop an informational topic with facts and details, use a wide variety of transitional words and phrases to show logical relationships between events and ideas, provide a concluding section.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"recognize and use a small number of frequently occurring nouns, noun, phrases, and verbs, understand and respond to simple questions.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including visual aids and sentences), use nouns, pronouns, verbs, prepositions, adjectives, adverbs, conjunctions, and prepositional phrases, produce simple and compound sentences.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), use relative pronouns (e.g., who, whom, which, that), relative adverbs (e.g., where, when, why), subordinating conjunctions, and prepositional phrases, produce and expand simple, compound, and a few complex sentences.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"use an increasing number of intensive/reflexive pronouns (e.g., myself, ourselves) and verbs in the active and passive voices, place phrases and clauses within a sentence, recognize and correct most misplaced and dangling modifiers, produce and expand simple, compound, and complex sentences.",,,
ELP14,English Language Proficiency,Middle School (6-8),6-8.10,An ELL can make accurate use of standard English to communicate in grade-appropriate speech and writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"use intensive/reflexive pronouns, use verbs in the active and passive voices, place phrases and clauses within a sentence, recognize and correct misplaced and dangling modifiers, produce and expand simple, compound, and complex sentences.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,use a very limited set of strategies to identify a few key words and phrases in oral communications and simple oral and written texts.,,,
ELP14,English Language Proficiency,High School (9-12),9-12.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"use an emerging set of strategies to identify the main topic, retell a few key details in oral presentations and simple oral and written texts.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"use a developing set of strategies to determine the central idea or theme in oral presentations and written texts, explain how the theme is developed by specific details in the texts, summarize part of the text.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"use an increasing range of strategies to determine two central ideas or themes in oral presentations and written texts, analyze the development of the themes/ideas, cite specific details and evidence from the texts to support the analysis, summarize a simple text.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"use a wide range of strategies to determine central ideas or themes in presentations and written texts, analyze the development of the themes/ideas, cite specific details and evidence from the texts to support the analysis, summarize a text.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"participate in short conversational and written exchanges on familiar topics, present information, respond to simple yes/no questions and some wh- questions.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"participate in short conversational and written exchanges on familiar topics and texts, present information and ideas, respond to simple questions and wh- questions.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"participate in conversations, discussions, and written exchanges on familiar topics, texts, and issues, build on the ideas of others, express his or her own ideas, ask and answer relevant questions, add relevant information and evidence, restate some of the key ideas expressed.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"participate in conversations, discussions, and written exchanges on a range of topics, texts, and issues, build on the ideas of others, express his or her own ideas clearly, support points with specific and relevant evidence, ask and answer questions to clarify ideas and conclusions, summarize the key points expressed.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"participate in extended conversations, discussions, and written exchanges on a range of substantive topics, texts, and issues, build on the ideas of others, express his or her own ideas clearly and persuasively, refer to specific and relevant evidence from texts or research to support his or her ideas, ask and answer questions that probe reasoning and claims, summarize the key points and evidence discussed.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"with support (including modeled sentences), communicate information about familiar texts, topics, and experiences.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"with support (including modeled sentences), deliver short oral presentations, compose written narratives or informational texts about familiar texts, topics, experiences, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"with support (including modeled sentences), deliver short oral presentations, compose written informational texts, develop the topic with a few details about familiar texts, topics, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"deliver oral presentations, compose written informational texts, develop the topic with some relevant details, concepts, examples, and information, integrate graphics or multimedia when useful about a variety of texts, topics, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"deliver oral presentations, compose written informational texts, fully develop the topic with relevant details, concepts, examples, and information, integrate graphics or multimedia when useful about a variety of texts, topics, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,express an opinion about a familiar topic.,,,
ELP14,English Language Proficiency,High School (9-12),9-12.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"construct a claim about familiar topics, introduce the topic, give a reason to support the claim, provide a concluding statement.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"construct a claim about familiar topics, introduce the topic, provide sufficient reasons or facts to support the claim, provide a concluding statement.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"construct a claim about a variety of topics, introduce the topic, provide logically ordered reasons or facts that effectively support the claim, provide a concluding statement.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.4,An ELL can construct grade-appropriate oral and written claims and support them with reasoning and evidence.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"construct a substantive claim about a variety of topics, introduce the claim, distinguish it from a counter-claim, provide logically ordered and relevant reasons and evidence to support the claim and to refute the counter-claim, provide a conclusion that summarizes the argument presented.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,"gather information from a few provided print and digital sources, label collected information, experiences, or events.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"gather information from provided print and digital sources, summarize data and information.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"carry out short research projects to answer a question, gather information from multiple provided print and digital sources, evaluate the reliability of each source, paraphrase key information in a short written or oral report, include illustrations, diagrams, or other graphics, provide a list of sources.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"carry out both short and more sustained research projects to answer a question, gather and synthesize information from multiple print and digital sources, use search terms effectively, evaluate the reliability of each source, integrate information into an organized oral or written report, cite sources appropriately.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.5,An ELL can conduct research and evaluate and communicate findings to answer questions or solve problems.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"carry out both short and more sustained research projects to answer a question or solve a problem, gather and synthesize information from multiple print and digital sources, use advanced search terms effectively, evaluate the reliability of each source, analyze and integrate information into a clearly organized oral or written text, cite sources appropriately.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,identify a point an author or a speaker makes.,,,
ELP14,English Language Proficiency,High School (9-12),9-12.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 2,"identify the main argument an author or speaker makes, identify one reason an author or a speaker gives to support the argument.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 3,"explain the reasons an author or a speaker gives to support a claim, cite textual evidence to support the analysis.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 4,"analyze the reasoning and use of rhetoric in persuasive texts or speeches, including documents of historical and literary significance, determine whether the evidence is sufficient to support the claim, and cite textual evidence to support the analysis.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.6,An ELL can analyze and critique the arguments of others orally and in writing.,"By the end of each English language proficiency level, an ELL can . . .",Level 5,"analyze and evaluate the reasoning and use of rhetoric in persuasive texts, including documents of historical and literary significance, determine whether the evidence is sufficient to support the claim, and cite specific textual evidence to thoroughly support the analysis.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"recognize the meaning of some words learned through conversations, reading, and being read to.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"adapt language choices to task and audience with emerging control, use some frequently occurring general academic and content-specific words in conversation and discussion.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"adapt language choices and style according to purpose, task, and audience with developing ease, use an increasing number of general academic and content-specific words and expressions in speech and written text, show developing control of style and tone in oral or written text.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"adapt language choices and style according to purpose, task, and audience, use a wider range of complex general academic and content-specific words and phrases, adopt and maintain a formal style in speech and writing, as appropriate.",,,
ELP14,English Language Proficiency,High School (9-12),9-12.7,"An ELL can adapt language choices to purpose, task, and audience when speaking and writing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"adapt language choices and style according to purpose, task, and audience with ease, use a wide variety of complex general academic and content-specific words and phrases, employ both formal and more informal styles effectively, as appropriate.",,,
