           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS03.CC,"Explain how conception occurs, the stages of pregnancy, and responsibility of parenting.  (REQ)",HE.08.PS03.GS,Set a personal goal to avoid an unintended pregnancy.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS04.CC,"Acknowledge that abstinence is the safest, most effective method of protection from STD/HIV/Hepatitis B and C and pregnancy.  (REQ)",HE.08.PS04.INF,"Define values and what influences our values, including the media; analyze how our values impact our sexual health-related decisions.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS04.CC,"Acknowledge that abstinence is the safest, most effective method of protection from STD/HIV/Hepatitis B and C and pregnancy.  (REQ)",HE.08.PS04.ADV,"Advocate for the promotion of abstinence as the safest most effective method of protection from STD/HIV, Hepatitis B and C, and pregnancy.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS05.CC,"Identify methods of protection including abstinence, disease reduction measures and contraception, from STD/HIV, Hepatitis B and C and pregnancy.  (REQ)",HE.08.PS05.AI,"Access appropriate school, home and community resources to meet specific needs for sexual health, including pregnancy and STD/HIV/Hepatitis B and C testing, and contraception.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS05.CC,"Identify methods of protection including abstinence, disease reduction measures and contraception, from STD/HIV, Hepatitis B and C and pregnancy.  (REQ)",HE.08.PS05.SM,Demonstrate the steps to using a condom.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS05.CC,"Identify methods of protection including abstinence, disease reduction measures and contraception, from STD/HIV, Hepatitis B and C and pregnancy.  (REQ)",HE.08.PS05.IC,Demonstrate the use of effective communication and negotiation skills about the use of contraception including abstinence condoms and other safer sex practices.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS05.CC,"Identify methods of protection including abstinence, disease reduction measures and contraception, from STD/HIV, Hepatitis B and C and pregnancy.  (REQ)",HE.08.PS05.DM,"Use a decision making model to choose abstinence or effective contraceptives, other safer sex practices.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS06.CC,"Identify possible short and long-term consequences of sexual activity, including what it means to be responsible for the results of one’s decisions.   (REQ)",HE.08.PS06.IC,"Practice effective communication skills to refuse sexual pressures and communicate the consequences of sexual activity, and consent.   (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS06.CC,"Identify possible short and long-term consequences of sexual activity, including what it means to be responsible for the results of one’s decisions.   (REQ)",HE.08.PS06.DM,Use a decision making model to avoid sexual activity that may put you and your partner at personal risk.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS07.CC,"Describe gender roles, gender identity and sexual orientation within healthy sexuality.  (REQ)",HE.08.PS07.ADV,Advocate for school policies and programs that promote dignity and respect for all.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS08.CC,Identify the impact of alcohol and other drug use on sexual decision-making.  (REQ),HE.08.PS08.INF,Analyze the role of alcohol and other drug use in sexual violence-related situations.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS09.CC,"Discuss the impacts of bullying, sexual harassment, sexual abuse, sexual assault, incest, rape and dating violence.  (REQ)",HE.08.PS09.SM,Demonstrate ways they can respond when someone is being bullied or harassed.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS10.CC,"Differentiate between biological sex, sexual orientation, and gender identity and expression.  (REQ)",HE.08.PS10.SM,"Explain how to promote safety, respect, awareness and acceptance.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS10.CC,"Differentiate between biological sex, sexual orientation, and gender identity and expression.  (REQ)",HE.08.PS10.INF,"Analyze the influ-ence of friends, family, media, society and culture on the expression of gender, sexual orientation and identity.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS11.CC,Compare and contrast the charac-teristics of healthy and unhealthy relationships.  (REQ),HE.08.PS11.SM,Explain the criteria for evaluating the health of a relationship.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS12.CC,Describe a range of ways people express affection within various types of relationships.  (REQ),HE.08.PS12.IC,Demonstrate effective ways to communicate personal boundaries and show respect for the boundaries of others.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS13.CC,"Define STDs, HIV, Hepatitis B/C and how they are and are not transmitted.  (REQ)",HE.08.PS13.AI,"Identify medically-accurate information about STDs, HIV, and Hepatitis B/C.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Promotion of Sexual Health,,"Acquire knowledge and skills to understand the importance of safe behaviors in maintaining sexual health. [Related ORS:  336.455 Human Sexuality Education (K-12); 339.351-339.364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR:  581-022-1210 District Curriculum and Instruction (K-12); 581-022-1440 Human Sexuality Education (K-12) 581-022- 0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.PS14.CC,"Describe the consequences of prejudice, discrimination, racism, sexism and hate crimes.  (REQ)",HE.08.PS14.ADV,Advocate for the promotion of empathy for indivi-dual differences.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI01.CC,Explain ways to prevent fires and reduce the risk of injuries in case of fire.  (REQ),HE.08.UI01.INF,Analyze how the media portrays fire and explosives and compare to safe and appropriate use.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI01.CC,Explain ways to prevent fires and reduce the risk of injuries in case of fire.  (REQ),HE.08.UI01.DM,"Understand the legal, financial and social consequences of fire and decide how to be responsible with fire.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI02.CC,Explain ways to reduce risk of injuries in and around water.  (REQ),HE.08.UI02.IC,Demonstrate verbal and non-verbal communication to avoid unsafe situations in and around water.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI03.CC,Explain safe behaviors when traveling to and from school and in the community.  (REQ),HE.08.UI03.AI,Identify laws intended to prevent injuries at school and in the community.   (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI03.CC,Explain safe behaviors when traveling to and from school and in the community.  (REQ),HE.08.UI03.SM,"Demonstrate personal responsibility to follow safety-related laws, including proper use of a helmet.   (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI03.CC,Explain safe behaviors when traveling to and from school and in the community.  (REQ),HE.08.UI03.DM,Use the decision making process to use safety practices in and around motorized vehicles.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI04.CC,Explain ways to reduce risk of injuries during sports/recreational participation.  (REQ),HE.08.UI04.INF,Examine the role of extreme risk-taking actions in the media and its’ possible effects on behavior.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI04.CC,Explain ways to reduce risk of injuries during sports/recreational participation.  (REQ),HE.08.UI04.GS,"Develop a goal to wear safety equipment correctly, even when peers do not.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI04.CC,Explain ways to reduce risk of injuries during sports/recreational participation.  (REQ),HE.08.UI04.ADV,Student advocate for injury self-reporting.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI05.CC,"Explain what to do during an emergency and/or natural disaster, including floods, tsunamis, and earthquakes.   (REQ)",HE.08.UI05.AI,Demonstrate an awareness of websites or organizations that promote survival kits and skills.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI05.CC,"Explain what to do during an emergency and/or natural disaster, including floods, tsunamis, and earthquakes.   (REQ)",HE.08.UI05.SM,Know your community’s emergency response plan (CERT) and how you can participate in it.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI05.CC,"Explain what to do during an emergency and/or natural disaster, including floods, tsunamis, and earthquakes.   (REQ)",HE.08.UI05.IC,Devise a communication plan with your family so all the members know how to contact each other in case of emergency.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI06.CC,Describe basic first aid procedures needed to treat injuries and other emergencies.  (REQ),HE.08.UI06.SM,Demonstrate procedures to get help in emergency situations and to stabilize injury situations until help arrives.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI07.CC,Identify ways to prevent situations that might harm vision and hearing.  (REQ),HE.08.UI07.SM,Demonstrate ways to prevent risk of vision and hearing injuries.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI08.CC,"Identify ways to prevent climate-related physical conditions, such as physical exhaustion, sunburn, heat stroke and hypothermia.  (REQ)",,No skill listed for this concept,,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI09.CC,"Explain the impact of alcohol, tobacco and other drugs on unintentional injury.  (REQ)",HE.08.UI09.INF,Determine how alcohol and other drugs can affect behaviors that can lead to injury.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, at work and in the community and how to get help in case of injury. [Related ORS:  336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-0413 Prevention Education in Drugs and Alcohol (K-12); 581-022-1210 District curriculum and Instruction (K-12); 581-022-1420 Emergency plans and safety programs (K-12)]",HE.08.UI09.CC,"Explain the impact of alcohol, tobacco and other drugs on unintentional injury.  (REQ)",HE.08.UI09.IC,Demonstrate strategies and refusal skills to avoid situations that may cause injury.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS01.CC,Explain pro-social behaviors.  (REQ),HE.08.VS01.SM,Demonstrate effective ways to promote respect for self and others.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS01.CC,Explain pro-social behaviors.  (REQ),HE.08.VS01.IC,Practice and use a variety of clear communication skills and peer resistance skills to promote pro-social behavior.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS02.CC,"Explain how violence, aggression, bullying, cyber-bullying, and harassment affect health and safety.  (REQ)",HE.08.VS02.ADV,"Design an advocacy campaign for preventing violence, aggression, bullying, cyber-bullying, and harassment.  (REQ)",,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS03.CC,"Explain the role problem-solving, anger management and impulse control have on preventing violence.   (REC)",HE.08.VS03.IC,"Demonstrate the steps of problem-solving, anger management and impulse control.  (REC)",,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS04.CC,"Describe the differences between physical, verbal, relational, sexual, and dating violence.  (REQ)",HE.08.VS04.GS,"Set a goal to prevent and avoid physical, verbal, relational and sexual, and dating violence.",,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS05.CC,Explain how witnesses and bystanders can help prevent violence by reporting dangerous situations.  (REQ),HE.08.VS05.AI,Identify reporting process within school setting.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS05.CC,Explain how witnesses and bystanders can help prevent violence by reporting dangerous situations.  (REQ),HE.08.VS05.IC,Demonstrate a variety of clear communication skills to report dangerous situations.   (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS05.CC,Explain how witnesses and bystanders can help prevent violence by reporting dangerous situations.  (REQ),HE.08.VS05.GS,Set a personal goal to prevent and stop violence (including bullying and cyber bullying).  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS05.CC,Explain how witnesses and bystanders can help prevent violence by reporting dangerous situations.  (REQ),HE.08.VS05.ADV,Advocate for a safe and civil school environment that fosters learning and achievement.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS06.CC,State the warning signs of suicide.  (REC),HE.08.VS06.AI,Describe how to access resources when you or someone else is depressed or considering suicide.  (REC),,
